base.id,base.currenthp,base.morale,base.populationList,base.status
0,100,64,1,war
1,70,75,6,war
2,100,74,3,peace
3,72,74,2,war
4,62,66,19,peace

0,98,63,1,war
1,70,94,6,war
2,100,73,3,peace
3,70,73,2,war
4,62,65,19,peace

0,96,62,1,war
1,70,93,6,war
2,100,72,3,peace
3,68,72,2,war
4,62,84,19,peace

0,94,61,1,war
1,70,50,7,war
2,100,71,3,peace
3,66,71,2,war
4,62,50,20,peace

0,90,60,1,war
1,70,69,7,war
2,100,70,3,peace
3,64,70,2,war
4,62,49,20,peace

0,86,59,1,war
1,70,68,7,war
2,100,69,3,peace
3,62,89,2,war
4,62,48,20,peace

0,84,78,1,war
1,70,67,7,war
2,100,68,3,peace
3,58,88,2,war
4,62,67,20,peace

0,80,77,1,war
1,70,66,7,war
2,100,67,3,peace
3,54,87,2,war
4,62,66,20,peace

0,74,76,1,war
1,68,65,7,war
2,100,86,3,peace
3,50,86,2,war
4,62,85,20,peace

0,68,75,1,war
1,66,84,7,war
2,100,50,4,peace
3,46,85,2,war
4,62,50,21,peace

0,62,74,1,war
1,64,50,8,war
2,100,49,4,peace
3,42,84,2,war
4,62,49,21,peace

0,58,73,1,war
1,62,49,8,war
2,100,48,4,peace
3,38,83,2,war
4,62,48,21,peace

0,54,72,1,war
1,60,48,8,war
2,100,47,4,peace
3,34,82,2,war
4,62,87,21,peace

0,50,71,1,war
1,58,67,8,war
2,100,46,4,peace
3,30,81,2,war
4,62,50,22,peace

0,46,70,1,war
1,56,76,8,war
2,100,45,4,peace
3,26,80,2,war
4,62,89,22,peace

0,46,69,1,peace
1,56,75,8,peace
2,100,44,4,peace
3,26,79,2,peace
4,62,88,22,peace

0,46,68,1,peace
1,56,74,8,peace
2,100,43,4,peace
3,26,78,2,peace
4,62,87,22,peace

0,46,67,1,peace
1,56,73,8,peace
2,100,42,4,peace
3,26,77,2,peace
4,62,86,22,peace

0,46,66,1,peace
1,56,72,8,war
2,100,41,4,peace
3,26,76,2,peace
4,62,95,21,war

0,46,65,1,peace
1,56,50,9,war
2,100,40,4,peace
3,26,75,2,peace
4,62,50,22,war

0,46,64,1,peace
1,56,69,9,war
2,100,39,4,war
3,26,74,2,peace
4,62,59,21,war

0,46,63,1,peace
1,56,68,9,war
2,100,38,4,war
3,26,73,2,peace
4,62,78,21,war

0,46,62,1,peace
1,56,50,10,war
2,98,37,4,war
3,26,72,2,peace
4,62,77,21,war

0,46,61,1,peace
1,56,49,10,war
2,98,36,4,war
3,26,71,2,peace
4,62,66,20,war

0,46,60,1,peace
1,56,48,10,war
2,98,35,4,war
3,26,70,2,peace
4,62,65,20,war

0,46,59,1,war
1,54,37,9,war
2,98,34,4,war
3,26,69,2,peace
4,62,84,20,war

0,46,58,1,war
1,52,36,9,war
2,98,33,4,war
3,26,88,2,peace
4,62,50,21,war

0,44,57,1,war
1,50,35,9,war
2,98,32,4,war
3,26,87,2,peace
4,60,49,21,war

0,42,56,1,war
1,48,34,9,war
2,98,31,4,war
3,26,86,2,peace
4,58,48,21,war

0,40,55,1,war
1,44,83,9,war
2,96,30,4,war
3,26,85,2,peace
4,56,47,21,war

0,38,82,9,war
1,94,29,4,war
2,26,84,2,peace
3,54,46,22,war

0,34,81,9,war
1,94,28,4,war
2,26,83,2,peace
3,52,35,21,war

0,32,60,7,war
1,92,27,4,war
2,26,72,1,war
3,50,34,21,war

0,30,49,6,war
1,88,26,4,war
2,26,71,1,war
3,48,33,21,war

0,28,48,6,war
1,84,25,4,war
2,26,70,1,war
3,46,32,21,war

0,24,47,6,war
1,80,44,4,war
2,22,69,1,war
3,46,51,21,war

0,20,66,6,war
1,78,43,4,war
2,18,68,1,war
3,46,40,20,war

0,16,65,6,war
1,78,42,4,war
2,12,67,1,war
3,46,39,20,war

0,14,84,6,war
1,76,41,4,war
2,6,66,1,war
3,46,38,20,war

0,14,83,6,war
1,74,40,4,war
2,46,57,21,peace

0,14,82,6,war
1,74,39,4,war
2,46,56,21,peace

0,12,81,6,war
1,74,38,4,war
2,46,55,21,peace

0,10,80,6,war
1,74,37,4,war
2,46,74,21,peace

0,6,79,6,war
1,72,36,4,war
2,46,63,20,war

0,2,50,7,war
1,68,35,4,war
2,46,52,19,war

0,68,94,11,peace
1,46,51,19,war

0,68,93,11,peace
1,46,50,19,war

0,68,92,11,peace
1,46,49,19,war

0,68,91,11,peace
1,46,48,19,war

0,68,90,11,peace
1,46,67,19,war

0,68,89,11,peace
1,46,86,19,war

0,68,88,11,peace
1,46,85,19,war

0,68,87,11,peace
1,46,50,20,war

0,68,86,11,peace
1,46,49,20,war

0,68,85,11,peace
1,46,48,20,war

0,66,94,10,war
1,46,47,20,war

0,62,93,10,war
1,46,46,20,war

0,58,92,10,war
1,46,45,20,war

0,52,91,10,war
1,46,64,20,war

0,46,90,10,war
1,46,63,20,war

0,40,89,10,war
1,46,72,19,war

0,34,78,9,war
1,46,71,19,war

0,28,77,9,war
1,46,70,19,war

0,22,76,9,war
1,46,89,19,war

0,16,75,9,war
1,46,88,19,war

0,10,74,9,war
1,46,87,19,war

0,4,73,9,war
1,46,50,20,war

0,46,50,30,peace

