base.id,base.currenthp,base.morale,base.populationList,base.status
8,100,88,5,peace
9,42,59,1,war
10,88,8,1,war
11,80,28,3,war

0,88,37,2,war
1,42,84,5,war
2,56,37,1,war
3,56,37,2,war
4,100,77,4,peace
5,64,37,1,war
6,62,47,5,war
7,86,27,1,war
8,100,87,5,peace
9,40,58,1,war
10,88,7,1,war
11,78,17,2,war

0,86,36,2,war
1,38,83,5,war
2,54,36,1,war
3,54,36,2,war
4,100,76,4,peace
5,60,46,5,war
6,84,26,1,war
7,100,86,5,peace
8,38,57,1,war
9,88,6,1,war
10,76,16,2,war

0,84,35,2,war
1,32,50,6,war
2,52,35,1,war
3,52,35,2,war
4,100,95,4,peace
5,58,45,5,war
6,82,25,1,war
7,100,85,5,peace
8,36,56,1,war
9,88,5,1,war
10,74,15,2,war

0,82,34,2,war
1,28,49,6,war
2,50,34,1,war
3,50,34,2,war
4,100,94,4,peace
5,56,44,5,war
6,80,24,1,war
7,100,84,5,peace
8,34,55,1,war
9,88,4,1,war
10,72,14,2,war

0,80,33,2,war
1,24,48,6,war
2,48,33,1,war
3,48,33,2,war
4,100,93,4,peace
5,54,43,5,war
6,78,23,1,war
7,100,83,5,peace
8,32,54,1,war
9,88,3,1,war
10,70,13,2,war

0,78,32,2,war
1,20,47,6,war
2,46,32,1,war
3,46,32,2,war
4,100,92,4,peace
5,52,42,5,war
6,76,22,1,war
7,100,82,5,peace
8,28,53,1,war
9,88,2,1,war
10,68,12,2,war

0,76,31,2,war
1,18,36,5,war
2,42,31,1,war
3,44,31,2,war
4,100,91,4,peace
5,50,41,5,war
6,74,21,1,war
7,100,81,5,peace
8,24,52,1,war
9,88,1,1,war
10,66,1,1,war

0,74,30,2,war
1,16,35,5,war
2,38,30,1,war
3,42,30,2,war
4,100,90,4,peace
5,48,40,5,war
6,72,20,1,war
7,100,80,5,peace
8,20,51,1,war
9,88,40,0,war

0,72,29,2,war
1,16,54,5,war
2,36,29,1,war
3,40,29,2,war
4,100,89,4,peace
5,46,29,4,war
6,70,19,1,war
7,100,99,5,peace
8,16,50,1,war
9,62,40,0,war

0,70,28,2,war
1,16,53,5,war
2,34,28,1,war
3,38,28,2,war
4,100,88,4,peace
5,46,28,4,war
6,68,18,1,war
7,100,50,6,peace

0,70,27,2,war
1,16,52,5,war
2,32,27,1,war
3,36,27,2,war
4,100,87,4,peace
5,46,27,4,war
6,66,17,1,war
7,100,49,6,peace

0,68,26,2,war
1,16,51,5,war
2,30,26,1,war
3,34,26,2,war
4,100,86,4,peace
5,46,26,4,war
6,64,16,1,war
7,100,68,6,peace

0,68,45,2,war
1,16,50,5,war
2,32,25,2,war
3,100,50,5,peace
4,46,25,4,war
5,62,15,1,war
6,100,67,6,peace

0,68,44,2,war
1,16,49,5,war
2,30,24,2,war
3,100,49,5,peace
4,46,14,3,war
5,60,14,1,war
6,100,66,6,peace

0,66,43,2,war
1,16,48,5,war
2,28,23,2,war
3,100,48,5,peace
4,46,13,3,war
5,58,13,1,war
6,100,65,6,peace

0,64,42,2,war
1,16,47,5,war
2,26,22,2,war
3,100,47,5,peace
4,44,32,3,war
5,56,12,1,war
6,100,64,6,peace

0,60,41,2,war
1,16,46,5,war
2,24,21,2,war
3,100,46,5,peace
4,42,31,3,war
5,54,11,1,war
6,100,63,6,peace

0,58,40,2,war
1,16,45,5,war
2,22,20,2,war
3,100,65,5,peace
4,40,30,3,war
5,52,10,1,war
6,100,62,6,peace

0,54,39,2,war
1,16,64,5,war
2,20,19,2,war
3,100,64,5,peace
4,38,29,3,war
5,100,61,6,peace

0,52,38,2,war
1,16,63,5,war
2,18,18,2,war
3,100,83,5,peace
4,36,28,3,war
5,100,60,6,peace

0,50,37,2,war
1,16,62,5,war
2,16,17,2,war
3,100,82,5,peace
4,34,27,3,war
5,100,59,6,peace

0,48,36,2,war
1,16,81,5,war
2,14,16,2,war
3,100,81,5,peace
4,32,26,3,war
5,100,78,6,peace

0,44,35,2,war
1,16,80,5,war
2,12,15,2,war
3,100,80,5,peace
4,30,25,3,war
5,100,97,6,peace

0,40,34,2,war
1,16,79,5,war
2,10,14,2,war
3,100,79,5,peace
4,28,24,3,war
5,100,96,6,peace

0,38,33,2,war
1,16,98,5,war
2,8,13,2,war
3,100,78,5,peace
4,26,23,3,war
5,100,50,7,peace

0,34,32,2,war
1,16,50,6,war
2,6,12,2,war
3,100,77,5,peace
4,24,22,3,war
5,100,49,7,peace

0,32,31,2,war
1,16,69,6,war
2,4,11,2,war
3,100,76,5,peace
4,22,21,3,war
5,100,68,7,peace

0,30,30,2,war
1,16,88,6,war
2,2,10,2,war
3,100,75,5,peace
4,20,20,3,war
5,100,57,6,war

0,30,29,2,war
1,16,50,7,war
2,100,94,5,peace
3,18,19,5,peace
4,100,56,6,war

0,28,28,2,war
1,16,69,7,war
2,100,93,5,peace
3,18,18,5,peace
4,100,55,6,war

0,26,27,2,war
1,16,68,7,war
2,100,92,5,peace
3,18,17,5,peace
4,100,54,6,war

0,24,26,2,war
1,16,67,7,war
2,100,91,5,peace
3,18,16,5,peace
4,100,43,5,war

0,22,25,2,war
1,16,66,7,war
2,100,90,5,peace
3,18,35,5,peace
4,100,42,5,war

0,20,24,2,war
1,16,85,7,war
2,100,89,5,peace
3,18,34,5,peace
4,100,41,5,war

0,16,23,2,war
1,16,50,8,war
2,100,88,5,peace
3,18,33,5,peace
4,100,40,5,war

0,12,22,2,war
1,16,49,8,war
2,100,87,5,peace
3,18,32,5,peace
4,98,39,5,war

0,6,21,2,war
1,16,38,7,war
2,100,86,5,peace
3,18,31,5,peace
4,98,58,5,war

0,16,37,9,peace
1,100,85,5,peace
2,18,50,5,peace
3,98,57,5,war

0,16,36,9,peace
1,100,84,5,peace
2,18,49,5,peace
3,98,56,5,war

0,16,35,9,peace
1,100,83,5,peace
2,18,48,5,peace
3,98,55,5,war

0,16,34,9,peace
1,100,82,5,peace
2,18,47,5,peace
3,98,54,5,war

0,16,53,9,peace
1,100,81,5,peace
2,18,46,5,peace
3,98,53,5,war

0,16,52,9,peace
1,100,80,5,peace
2,18,65,5,peace
3,98,52,5,war

0,16,51,9,peace
1,100,79,5,peace
2,18,84,5,peace
3,98,51,5,war

0,16,50,9,peace
1,100,78,5,peace
2,18,83,5,peace
3,98,50,5,war

0,16,49,9,peace
1,100,77,5,peace
2,18,82,5,peace
3,98,49,5,war

0,16,48,9,peace
1,100,76,5,peace
2,18,81,5,peace
3,98,48,5,war

0,16,57,9,peace
1,100,75,5,peace
2,18,80,5,peace
3,98,47,5,war

0,16,56,9,peace
1,100,94,5,peace
2,18,79,5,peace
3,98,46,5,war

0,16,55,9,peace
1,100,50,6,peace
2,18,78,5,peace
3,98,45,5,war

0,16,54,9,peace
1,100,49,6,peace
2,18,77,5,peace
3,98,64,5,war

0,16,53,9,peace
1,100,68,6,peace
2,18,76,5,peace
3,98,63,5,war

0,16,52,9,peace
1,100,67,6,peace
2,18,75,5,peace
3,98,62,5,war

0,16,71,9,peace
1,100,56,5,war
2,18,74,5,war
3,98,61,5,war

0,16,90,9,peace
1,100,55,5,war
2,18,73,5,war
3,98,60,5,war

0,16,89,9,peace
1,100,54,5,war
2,18,92,5,war
3,98,50,6,war

0,16,88,9,peace
1,100,53,5,war
2,18,91,5,war
3,98,69,6,war

0,16,87,9,peace
1,100,52,5,war
2,18,90,5,war
3,96,68,6,war

0,16,50,10,peace
1,100,51,5,war
2,18,89,5,war
3,94,87,6,war

0,16,49,10,peace
1,100,50,5,war
2,18,88,5,war
3,92,86,6,war

0,16,48,10,peace
1,100,49,5,war
2,18,87,5,war
3,90,85,6,war

0,16,87,10,peace
1,100,48,5,war
2,18,76,4,war
3,84,94,6,war

0,16,50,11,peace
1,100,47,5,war
2,18,75,4,war
3,80,93,6,war

0,16,49,11,peace
1,100,46,5,war
2,18,64,3,war
3,76,92,6,war

0,16,68,11,peace
1,100,45,5,war
2,18,63,3,war
3,74,50,7,war

0,16,87,11,peace
1,100,44,5,war
2,16,62,3,war
3,72,49,7,war

0,16,50,12,peace
1,100,33,4,war
2,14,61,3,war
3,70,68,7,war

0,16,49,12,peace
1,100,32,4,war
2,10,60,3,war
